order_id,order_date,ship_date,segment,city,region,category,product,quantity,unit_price,discount,sales,profit,ship_mode
10000,2021-01-24,2021-01-27,Loyalty Member,Cape Town,Western Cape,Footwear,Slippers,2,390.15,0,780.3,68.0,Standard
10001,2021-09-07,2021-09-13,Regular,Richards Bay,KwaZulu-Natal,Kids Clothing,Winter Jackets,1,475.99,0,475.99,117.83,Standard
10002,2022-04-25,2022-04-28,Regular,Stellenbosch,Western Cape,Footwear,Slippers,5,500.64,0.3,1752.24,365.68,Click and Collect
10003,2024-02-18,2024-02-21,Loyalty Member,Mthatha,Eastern Cape,Kids Clothing,Summer Dresses,2,112.37,0.05,213.5,56.69,Click and Collect
10004,2022-02-13,2022-02-16,Regular,Sandton,Gauteng,Kids Clothing,Pyjama Sets,5,446.93,0,2234.65,505.46,Standard
10005,2022-03-15,2022-03-19,Loyalty Member,Pretoria,Gauteng,Footwear,School Shoes,4,508.12,0.15,1727.61,304.54,Standard
10006,2023-04-21,2023-04-25,Regular,Soweto,Gauteng,Kids Clothing,Pyjama Sets,9,363.88,0.2,2619.94,774.13,Standard
10007,2022-03-17,2022-03-21,Loyalty Member,Cape Town,Western Cape,Kids Clothing,Summer Dresses,7,393.17,0.2,2201.75,377.8,Click and Collect
10008,2023-09-28,2023-09-28,Loyalty Member,Durban,KwaZulu-Natal,Kids Clothing,Winter Jackets,6,145.89,0.2,700.27,82.6,Standard
10009,2023-09-25,2023-09-27,Loyalty Member,Johannesburg,Gauteng,Kids Clothing,Pyjama Sets,9,399.57,0,3596.13,610.4,Standard
10010,2021-10-11,2021-10-15,Loyalty Member,Stellenbosch,Western Cape,Footwear,Sneakers,4,118.54,0,474.16,47.68,Standard
10011,2021-09-25,2021-09-27,Wholesale,Stellenbosch,Western Cape,Kids Clothing,Denim Jeans,10,304.8,0.05,2895.6,877.19,Express
10012,2022-12-10,2022-12-14,Regular,Mokopane,Limpopo,Accessories,Hair Accessories,2,215.43,0,430.86,69.43,Standard
10013,2022-10-08,2022-10-09,Regular,Paarl,Western Cape,Kids Clothing,School Uniforms,6,125.14,0.05,713.3,104.74,Standard
10014,2022-12-19,2022-12-24,Loyalty Member,Soweto,Gauteng,Kids Clothing,School Uniforms,7,269.69,0.2,1510.26,290.1,Express
10015,2021-01-13,2021-01-19,Regular,Johannesburg,Gauteng,Kids Clothing,Casual T-Shirts,3,304.16,0.1,821.23,156.88,Click and Collect
10016,2021-08-26,2021-08-28,Regular,Port Elizabeth,Eastern Cape,Accessories,School Bags,2,561.45,0.05,1066.76,127.92,Standard
10017,2022-07-02,2022-07-04,Regular,Soweto,Gauteng,Footwear,Boots,5,304.73,0.3,1066.56,124.95,Standard
10018,2021-10-24,2021-10-28,Regular,Stellenbosch,Western Cape,Kids Clothing,Denim Jeans,9,169.29,0,1523.61,433.2,Standard
10019,2021-11-28,2021-11-28,Loyalty Member,Pretoria,Gauteng,Kids Clothing,School Uniforms,7,424.26,0.15,2524.35,768.23,Standard
10020,2023-04-09,2023-04-13,Regular,Paarl,Western Cape,Kids Clothing,Swimwear,2,93.75,0,187.5,18.3,Standard
10021,2023-03-12,2023-03-13,Regular,East London,Eastern Cape,Kids Clothing,Denim Jeans,5,400.96,0,2004.8,481.73,Standard
10022,2021-03-09,2021-03-10,Loyalty Member,Mthatha,Eastern Cape,Kids Clothing,Denim Jeans,4,454.98,0.05,1728.92,423.58,Click and Collect
10023,2024-05-28,2024-05-28,Loyalty Member,Stellenbosch,Western Cape,Kids Clothing,Winter Jackets,3,413.93,0.1,1117.61,132.75,Standard
10024,2024-09-01,2024-09-02,Wholesale,Paarl,Western Cape,Kids Clothing,Swimwear,6,386.08,0,2316.48,424.26,Standard
10025,2023-01-12,2023-01-14,Regular,Richards Bay,KwaZulu-Natal,Footwear,Boots,10,471.23,0.05,4476.69,1287.07,Click and Collect
10026,2022-07-01,2022-07-03,Loyalty Member,Pietermaritzburg,KwaZulu-Natal,Kids Clothing,Pyjama Sets,4,225.07,0,900.28,154.68,Standard
10027,2024-04-07,2024-04-14,Regular,East London,Eastern Cape,Footwear,Sandals,4,101.07,0.05,384.07,67.45,Standard
10028,2021-05-12,2021-05-18,Wholesale,Sandton,Gauteng,Kids Clothing,Winter Jackets,3,385.1,0.1,1039.77,92.73,Standard
10029,2023-12-26,2023-12-28,Regular,Johannesburg,Gauteng,Kids Clothing,Winter Jackets,1,450.48,0,450.48,92.25,Express
10030,2022-06-14,2022-06-15,Loyalty Member,Tzaneen,Limpopo,Footwear,School Shoes,5,347.63,0.2,1390.52,220.1,Express
10031,2022-04-14,2022-04-20,Loyalty Member,Mokopane,Limpopo,Kids Clothing,Denim Jeans,5,296.1,0,1480.5,226.41,Standard
10032,2023-08-15,2023-08-19,Regular,Richards Bay,KwaZulu-Natal,Accessories,Sun Hats,2,233.73,0.15,397.34,40.69,Click and Collect
10033,2022-11-10,2022-11-12,Regular,Port Elizabeth,Eastern Cape,Kids Clothing,Casual T-Shirts,10,522.37,0,5223.7,988.85,Click and Collect
10034,2022-12-23,2022-12-27,Regular,Pretoria,Gauteng,Footwear,School Shoes,7,200.61,0.3,982.99,90.49,Standard
10035,2021-08-05,2021-08-12,Wholesale,Sandton,Gauteng,Accessories,Belts,9,306.64,0.3,1931.83,570.53,Express
10036,2024-08-09,2024-08-16,Regular,Paarl,Western Cape,Footwear,Boots,4,229.04,0,916.16,230.19,Standard
10037,2023-06-18,2023-06-19,Regular,Cape Town,Western Cape,Kids Clothing,Summer Dresses,2,300.58,0.15,510.99,107.42,Standard
10038,2022-07-13,2022-07-20,Loyalty Member,Johannesburg,Gauteng,Footwear,Boots,8,92.01,0.15,625.67,94.89,Standard
10039,2024-09-24,2024-09-28,Regular,Pretoria,Gauteng,Kids Clothing,Casual T-Shirts,1,287.32,0.2,229.86,58.34,Express
10040,2022-10-18,2022-10-19,Loyalty Member,Mthatha,Eastern Cape,Kids Clothing,Pyjama Sets,7,158.21,0.3,775.23,95.83,Standard
10041,2023-04-15,2023-04-18,Regular,Soweto,Gauteng,Accessories,Hair Accessories,5,514.8,0.3,1801.8,152.53,Standard
10042,2023-04-21,2023-04-22,Regular,Richards Bay,KwaZulu-Natal,Kids Clothing,Summer Dresses,4,517.01,0,2068.04,283.84,Standard
10043,2021-10-07,2021-10-11,Regular,Pietermaritzburg,KwaZulu-Natal,Footwear,School Shoes,3,581.01,0,1743.03,381.52,Click and Collect
10044,2024-07-23,2024-07-25,Loyalty Member,Paarl,Western Cape,Kids Clothing,Pyjama Sets,5,522.65,0,2613.25,708.44,Standard
10045,2021-06-18,2021-06-22,Regular,Durban,KwaZulu-Natal,Kids Clothing,Swimwear,7,508.39,0,3558.73,654.97,Standard
10046,2024-12-05,2024-12-09,Wholesale,Paarl,Western Cape,Kids Clothing,Swimwear,9,484.07,0.3,3049.64,562.77,Express
10047,2023-06-28,2023-06-28,Regular,Port Elizabeth,Eastern Cape,Kids Clothing,Swimwear,8,379.62,0.2,2429.57,390.52,Standard
10048,2023-03-16,2023-03-18,Regular,Sandton,Gauteng,Accessories,Scarves,9,94.18,0.05,805.24,80.96,Express
10049,2024-09-25,2024-09-27,Loyalty Member,Richards Bay,KwaZulu-Natal,Kids Clothing,School Uniforms,2,239.06,0.2,382.5,94.11,Standard
10050,2023-08-18,2023-08-23,Regular,Sandton,Gauteng,Kids Clothing,Winter Jackets,5,206.57,0.05,981.21,152.81,Express
10051,2022-04-07,2022-04-13,Wholesale,Sandton,Gauteng,Footwear,Sneakers,4,273.05,0.1,982.98,81.98,Standard
10052,2023-01-02,2023-01-07,Loyalty Member,Pretoria,Gauteng,Footwear,School Shoes,1,381.77,0.3,267.24,52.08,Standard
10053,2021-05-28,2021-05-28,Regular,Cape Town,Western Cape,Kids Clothing,Pyjama Sets,1,166.38,0.1,149.74,15.04,Standard
10054,2024-10-20,2024-10-27,Regular,Richards Bay,KwaZulu-Natal,Accessories,Scarves,10,593.92,0.1,5345.28,1157.1,Standard
10055,2021-04-21,2021-04-23,Regular,Johannesburg,Gauteng,Kids Clothing,School Uniforms,3,90.36,0.3,189.76,46.58,Standard
10056,2021-04-10,2021-04-16,Regular,Soweto,Gauteng,Kids Clothing,Winter Jackets,10,426.2,0.05,4048.9,737.03,Standard
10057,2022-05-27,2022-05-28,Loyalty Member,Cape Town,Western Cape,Kids Clothing,Swimwear,10,558.81,0.3,3911.67,429.68,Express
10058,2024-05-17,2024-05-22,Loyalty Member,Johannesburg,Gauteng,Accessories,Scarves,10,216.69,0,2166.9,292.41,Express
10059,2021-11-27,2021-11-28,Regular,Pretoria,Gauteng,Footwear,Sneakers,3,597.44,0.2,1433.86,333.15,Standard
10060,2021-08-12,2021-08-16,Loyalty Member,Johannesburg,Gauteng,Kids Clothing,Pyjama Sets,8,235.99,0.2,1510.34,415.73,Standard
10061,2024-02-11,2024-02-14,Loyalty Member,Soweto,Gauteng,Footwear,School Shoes,9,324.61,0,2921.49,365.24,Standard
10062,2024-11-15,2024-11-22,Regular,Stellenbosch,Western Cape,Accessories,Hair Accessories,8,150.93,0.05,1147.07,287.17,Standard
10063,2021-09-14,2021-09-15,Regular,Cape Town,Western Cape,Kids Clothing,Swimwear,3,343.17,0.1,926.56,187.28,Standard
10064,2024-08-08,2024-08-12,Regular,Soweto,Gauteng,Kids Clothing,Pyjama Sets,3,529.65,0.1,1430.05,379.6,Click and Collect
10065,2023-09-09,2023-09-16,Regular,Paarl,Western Cape,Kids Clothing,Pyjama Sets,8,530.28,0.3,2969.57,621.41,Standard
10066,2024-08-11,2024-08-18,Regular,Paarl,Western Cape,Kids Clothing,Swimwear,7,111.26,0.3,545.17,135.89,Express
10067,2024-11-26,2024-11-28,Regular,Durban,KwaZulu-Natal,Kids Clothing,Denim Jeans,10,258.32,0,2583.2,748.63,Standard
10068,2024-01-24,2024-01-26,Regular,Pretoria,Gauteng,Footwear,Sneakers,6,406.86,0.2,1952.93,460.81,Click and Collect
10069,2024-06-21,2024-06-27,Loyalty Member,East London,Eastern Cape,Kids Clothing,School Uniforms,4,410.89,0.1,1479.2,472.43,Express
10070,2024-02-25,2024-02-28,Regular,Durban,KwaZulu-Natal,Footwear,School Shoes,1,254.43,0,254.43,38.27,Standard
10071,2022-04-17,2022-04-21,Regular,Pretoria,Gauteng,Kids Clothing,Swimwear,7,405.05,0.05,2693.58,537.21,Standard
10072,2022-08-21,2022-08-24,Loyalty Member,Johannesburg,Gauteng,Kids Clothing,Winter Jackets,9,169.57,0.3,1068.29,327.81,Click and Collect
10073,2023-11-14,2023-11-20,Regular,Sandton,Gauteng,Kids Clothing,Casual T-Shirts,2,209.97,0.15,356.95,77.8,Click and Collect
10074,2023-01-27,2023-01-28,Loyalty Member,Johannesburg,Gauteng,Footwear,School Shoes,10,469.04,0.1,4221.36,1123.63,Standard
10075,2023-04-21,2023-04-23,Loyalty Member,Richards Bay,KwaZulu-Natal,Footwear,Sandals,2,549.74,0,1099.48,169.48,Standard
10076,2023-12-05,2023-12-06,Loyalty Member,East London,Eastern Cape,Kids Clothing,Summer Dresses,9,535.99,0.15,4100.32,850.43,Click and Collect
10077,2022-05-27,2022-05-28,Loyalty Member,Tzaneen,Limpopo,Kids Clothing,School Uniforms,8,580.08,0,4640.64,1211.19,Standard
10078,2024-09-12,2024-09-13,Regular,Durban,KwaZulu-Natal,Kids Clothing,Winter Jackets,5,387.13,0.15,1645.3,174.41,Standard
10079,2021-10-18,2021-10-21,Loyalty Member,Port Elizabeth,Eastern Cape,Footwear,Boots,5,420.11,0,2100.55,238.51,Click and Collect
10080,2023-08-04,2023-08-05,Regular,Paarl,Western Cape,Kids Clothing,Pyjama Sets,9,302.75,0,2724.75,796.99,Express
10081,2024-10-14,2024-10-17,Regular,Stellenbosch,Western Cape,Kids Clothing,Summer Dresses,6,139.67,0.15,712.32,150.07,Click and Collect
10082,2023-01-13,2023-01-16,Wholesale,Cape Town,Western Cape,Footwear,School Shoes,4,416.27,0,1665.08,153.42,Standard
10083,2022-10-07,2022-10-08,Regular,Mthatha,Eastern Cape,Kids Clothing,Swimwear,4,256.57,0,1026.28,276.35,Standard
10084,2023-03-05,2023-03-10,Regular,Pretoria,Gauteng,Accessories,Sun Hats,1,271.7,0.05,258.11,57.13,Standard
10085,2023-01-05,2023-01-11,Loyalty Member,Johannesburg,Gauteng,Kids Clothing,Swimwear,6,350.75,0,2104.5,396.66,Standard
10086,2021-12-26,2021-12-28,Regular,Pietermaritzburg,KwaZulu-Natal,Accessories,School Bags,8,521.12,0.2,3335.17,815.99,Standard
10087,2024-02-03,2024-02-06,Regular,Durban,KwaZulu-Natal,Footwear,Slippers,9,452.2,0.2,3255.84,1037.67,Standard
10088,2024-09-20,2024-09-24,Regular,Paarl,Western Cape,Footwear,Slippers,4,308.34,0.05,1171.69,210.1,Express
10089,2024-07-24,2024-07-25,Loyalty Member,Sandton,Gauteng,Kids Clothing,Summer Dresses,8,123.24,0,985.92,100.93,Standard
10090,2023-03-18,2023-03-19,Loyalty Member,Sandton,Gauteng,Kids Clothing,Swimwear,7,531.73,0,3722.11,1162.85,Express
10091,2023-02-19,2023-02-24,Regular,Paarl,Western Cape,Footwear,Sneakers,9,276.46,0.1,2239.33,487.69,Express
10092,2021-10-22,2021-10-28,Regular,Durban,KwaZulu-Natal,Footwear,Sneakers,6,268.02,0,1608.12,464.37,Standard
10093,2024-02-05,2024-02-11,Regular,Durban,KwaZulu-Natal,Kids Clothing,Casual T-Shirts,7,320.36,0,2242.52,378.57,Express
10094,2021-01-05,2021-01-07,Loyalty Member,Durban,KwaZulu-Natal,Kids Clothing,Pyjama Sets,7,336.69,0.3,1649.78,295.98,Standard
10095,2021-06-14,2021-06-15,Regular,Soweto,Gauteng,Kids Clothing,Summer Dresses,7,591.07,0,4137.49,338.63,Standard
10096,2022-03-25,2022-03-28,Regular,Johannesburg,Gauteng,Footwear,Sandals,3,282.91,0.05,806.29,161.31,Express
10097,2023-02-13,2023-02-20,Regular,Pietermaritzburg,KwaZulu-Natal,Accessories,Scarves,10,307.93,0.2,2463.44,616.55,Standard
10098,2021-07-01,2021-07-04,Regular,Paarl,Western Cape,Footwear,Sneakers,2,311.72,0,623.44,86.28,Standard
10099,2021-07-28,2021-07-28,Regular,Durban,KwaZulu-Natal,Kids Clothing,Denim Jeans,2,359.61,0.05,683.26,203.22,Standard
10100,2022-04-04,2022-04-06,Loyalty Member,Pretoria,Gauteng,Footwear,School Shoes,3,574.16,0.3,1205.74,230.72,Standard
10101,2024-11-19,2024-11-25,Regular,Richards Bay,KwaZulu-Natal,Accessories,Scarves,3,313.28,0.3,657.89,122.45,Standard
10102,2023-10-02,2023-10-05,Regular,Sandton,Gauteng,Kids Clothing,Winter Jackets,5,128.13,0,640.65,145.81,Standard
10103,2024-10-18,2024-10-25,Regular,Durban,KwaZulu-Natal,Footwear,Sandals,6,397.55,0,2385.3,739.09,Standard
10104,2023-12-03,2023-12-08,Regular,Durban,KwaZulu-Natal,Kids Clothing,Casual T-Shirts,9,355.6,0,3200.4,535.54,Click and Collect
10105,2024-07-25,2024-07-28,Loyalty Member,Durban,KwaZulu-Natal,Footwear,School Shoes,6,137.2,0.2,658.56,97.6,Express
10106,2022-06-03,2022-06-08,Regular,Pietermaritzburg,KwaZulu-Natal,Footwear,Boots,3,392.47,0,1177.41,181.67,Standard
10107,2023-03-22,2023-03-28,Wholesale,Mthatha,Eastern Cape,Accessories,School Bags,7,348.33,0,2438.31,407.25,Standard
10108,2022-06-25,2022-06-28,Regular,Cape Town,Western Cape,Kids Clothing,Swimwear,2,347.92,0,695.84,166.21,Click and Collect
10109,2022-10-13,2022-10-15,Loyalty Member,Paarl,Western Cape,Footwear,Sandals,8,111.28,0.15,756.7,183.37,Standard
10110,2024-10-10,2024-10-17,Regular,Pietermaritzburg,KwaZulu-Natal,Kids Clothing,Swimwear,8,550.03,0.05,4180.23,703.46,Click and Collect
10111,2024-08-25,2024-08-28,Regular,Richards Bay,KwaZulu-Natal,Accessories,Sun Hats,10,159.58,0.1,1436.22,132.88,Standard
10112,2023-09-04,2023-09-10,Regular,Port Elizabeth,Eastern Cape,Footwear,Sneakers,8,550.71,0,4405.68,1231.17,Standard
10113,2022-08-12,2022-08-13,Regular,Soweto,Gauteng,Kids Clothing,School Uniforms,6,203.51,0.15,1037.9,314.9,Express
10114,2023-03-05,2023-03-06,Loyalty Member,Soweto,Gauteng,Kids Clothing,Pyjama Sets,8,317.79,0,2542.32,756.1,Standard
10115,2022-03-18,2022-03-24,Regular,Pietermaritzburg,KwaZulu-Natal,Kids Clothing,Winter Jackets,2,113.35,0.2,181.36,42.32,Express
10116,2021-02-27,2021-02-28,Loyalty Member,Johannesburg,Gauteng,Kids Clothing,Pyjama Sets,3,237.55,0,712.65,162.17,Standard
10117,2024-03-22,2024-03-28,Regular,Stellenbosch,Western Cape,Kids Clothing,Denim Jeans,9,371.62,0.2,2675.66,774.87,Standard
10118,2024-06-09,2024-06-15,Regular,Cape Town,Western Cape,Footwear,School Shoes,10,463.95,0.15,3943.57,441.75,Standard
10119,2023-11-06,2023-11-13,Wholesale,Pietermaritzburg,KwaZulu-Natal,Kids Clothing,Summer Dresses,3,121.18,0.3,254.48,22.62,Standard
